,angulo,seno
197,1.97,0.96069
198,1.98,0.95872
199,1.99,0.95671
200,2.0,0.95465
201,2.01,0.95255
202,2.02,0.9504
203,2.03,0.9482
204,2.04,0.94596
205,2.05,0.94368
206,2.06,0.94135
207,2.07,0.93898
208,2.08,0.93657
209,2.09,0.93411
210,2.1,0.9316
211,2.11,0.92906
212,2.12,0.92647
213,2.13,0.92384
214,2.14,0.92117
215,2.15,0.91845
216,2.16,0.91569
217,2.17,0.91289
218,2.18,0.91005
219,2.19,0.90717
220,2.2,0.90425
221,2.21,0.90129
222,2.22,0.89828
223,2.23,0.89524
224,2.24,0.89216
225,2.25,0.88904
226,2.26,0.88588
227,2.27,0.88268
228,2.28,0.87944
229,2.29,0.87617
230,2.3,0.87285
231,2.31,0.8695
232,2.32,0.86612
233,2.33,0.86269
234,2.34,0.85923
235,2.35,0.85574
236,2.36,0.85221
237,2.37,0.84864
238,2.38,0.84504
239,2.39,0.8414
240,2.4,0.83773
241,2.41,0.83403
242,2.42,0.83029
243,2.43,0.82652
244,2.44,0.82272
245,2.45,0.81888
246,2.46,0.81502
247,2.47,0.81112
248,2.48,0.80719
249,2.49,0.80323
250,2.5,0.79924
251,2.51,0.79522
252,2.52,0.79117
253,2.53,0.78709
254,2.54,0.78298
255,2.55,0.77884
256,2.56,0.77468
257,2.57,0.77049
258,2.58,0.76627
259,2.59,0.76202
260,2.6,0.75775
261,2.61,0.75345
262,2.62,0.74913
263,2.63,0.74478
264,2.64,0.74041
265,2.65,0.73602
266,2.66,0.7316
267,2.67,0.72715
268,2.68,0.72269
269,2.69,0.7182
270,2.7,0.71369
271,2.71,0.70916
272,2.72,0.70461
273,2.73,0.70003
274,2.74,0.69544
275,2.75,0.69083
276,2.76,0.6862
277,2.77,0.68155
278,2.78,0.67688
279,2.79,0.6722
280,2.8,0.66749
281,2.81,0.66277
282,2.82,0.65804
283,2.83,0.65329
284,2.84,0.64852
285,2.85,0.64374
286,2.86,0.63894
287,2.87,0.63413
288,2.88,0.62931
289,2.89,0.62447
290,2.9,0.61962
291,2.91,0.61476
292,2.92,0.60989
293,2.93,0.60501
294,2.94,0.60011
295,2.95,0.59521
296,2.96,0.5903
297,2.97,0.58538
298,2.98,0.58045
299,2.99,0.57551
300,3.0,0.57056
301,3.01,0.56561
302,3.02,0.56065
303,3.03,0.55568
304,3.04,0.55071
305,3.05,0.54573
306,3.06,0.54075
307,3.07,0.53577
308,3.08,0.53078
309,3.09,0.52578
310,3.1,0.52079
311,3.11,0.51579
312,3.12,0.5108
313,3.13,0.5058
314,3.14,0.5008
315,3.15,0.4958
316,3.16,0.4908
317,3.17,0.4858
318,3.18,0.4808
319,3.19,0.47581
320,3.2,0.47081
321,3.21,0.46582
322,3.22,0.46084
323,3.23,0.45585
324,3.24,0.45088
325,3.25,0.4459
326,3.26,0.44093
327,3.27,0.43597
328,3.28,0.43102
329,3.29,0.42607
330,3.3,0.42113
331,3.31,0.41619
332,3.32,0.41127
333,3.33,0.40635
334,3.34,0.40145
335,3.35,0.39655
336,3.36,0.39166
337,3.37,0.38679
338,3.38,0.38192
339,3.39,0.37707
340,3.4,0.37223
341,3.41,0.3674
342,3.42,0.36259
343,3.43,0.35779
344,3.44,0.353
345,3.45,0.34823
346,3.46,0.34347
347,3.47,0.33873
348,3.48,0.33401
349,3.49,0.3293
350,3.5,0.32461
351,3.51,0.31993
352,3.52,0.31528
353,3.53,0.31064
354,3.54,0.30602
355,3.55,0.30143
356,3.56,0.29685
357,3.57,0.29229
358,3.58,0.28775
359,3.59,0.28323
360,3.6,0.27874
361,3.61,0.27427
362,3.62,0.26982
363,3.63,0.26539
364,3.64,0.26099
365,3.65,0.25661
366,3.66,0.25225
367,3.67,0.24792
368,3.68,0.24362
369,3.69,0.23934
370,3.7,0.23508
371,3.71,0.23085
372,3.72,0.22665
373,3.73,0.22248
374,3.74,0.21834
375,3.75,0.21422
376,3.76,0.21013
377,3.77,0.20607
378,3.78,0.20204
379,3.79,0.19804
380,3.8,0.19407
381,3.81,0.19013
382,3.82,0.18622
383,3.83,0.18235
384,3.84,0.1785
385,3.85,0.17469
386,3.86,0.17091
387,3.87,0.16716
388,3.88,0.16344
389,3.89,0.15976
390,3.9,0.15612
391,3.91,0.1525
392,3.92,0.14893
393,3.93,0.14538
394,3.94,0.14188
395,3.95,0.13841
396,3.96,0.13497
397,3.97,0.13157
398,3.98,0.12821
399,3.99,0.12489
400,4.0,0.1216
401,4.01,0.11835
402,4.02,0.11514
403,4.03,0.11197
404,4.04,0.10883
405,4.05,0.10574
406,4.06,0.10268
407,4.07,0.099667
408,4.08,0.096691
409,4.09,0.093756
410,4.1,0.090861
411,4.11,0.088008
412,4.12,0.085195
413,4.13,0.082424
414,4.14,0.079695
415,4.15,0.077008
416,4.16,0.074363
417,4.17,0.071761
418,4.18,0.069202
419,4.19,0.066685
420,4.2,0.064212
421,4.21,0.061783
422,4.22,0.059397
423,4.23,0.057055
424,4.24,0.054758
425,4.25,0.052505
426,4.26,0.050297
427,4.27,0.048134
428,4.28,0.046016
429,4.29,0.043944
430,4.3,0.041917
431,4.31,0.039936
432,4.32,0.038001
433,4.33,0.036112
434,4.34,0.03427
435,4.35,0.032474
436,4.36,0.030725
437,4.37,0.029022
438,4.38,0.027367
439,4.39,0.025759
440,4.4,0.024199
441,4.41,0.022686
442,4.42,0.021221
443,4.43,0.019804
444,4.44,0.018435
445,4.45,0.017113
446,4.46,0.015841
447,4.47,0.014616
448,4.48,0.013441
449,4.49,0.012313
450,4.5,0.011235
451,4.51,0.010205
452,4.52,0.0092249
453,4.53,0.0082934
454,4.54,0.0074111
455,4.55,0.0065781
456,4.56,0.0057944
457,4.57,0.0050601
458,4.58,0.0043753
459,4.59,0.0037401
460,4.6,0.0031545
461,4.61,0.0026186
462,4.62,0.0021324
463,4.63,0.001696
464,4.64,0.0013095
465,4.65,0.00097278
466,4.66,0.00068599
467,4.67,0.00044914
468,4.68,0.00026224
469,4.69,0.00012531
470,4.7,3.8371e-05
471,4.71,1.4268e-06
472,4.72,1.4482e-05
473,4.73,7.7535e-05
474,4.74,0.00019058
475,4.75,0.00035361
476,4.76,0.0005666
477,4.77,0.00082953
478,4.78,0.0011424
479,4.79,0.0015051
480,4.8,0.0019177
481,4.81,0.0023801
482,4.82,0.0028922
483,4.83,0.0034541
484,4.84,0.0040656
485,4.85,0.0047267
486,4.86,0.0054374
487,4.87,0.0061975
488,4.88,0.0070069
489,4.89,0.0078657
490,4.9,0.0087737
491,4.91,0.0097308
492,4.92,0.010737
493,4.93,0.011792
494,4.94,0.012896
495,4.95,0.014048
496,4.96,0.01525
497,4.97,0.016499
498,4.98,0.017797
499,4.99,0.019144
500,5.0,0.020538
501,5.01,0.02198
502,5.02,0.02347
503,5.03,0.025008
504,5.04,0.026593
505,5.05,0.028226
506,5.06,0.029905
507,5.07,0.031632
508,5.08,0.033406
509,5.09,0.035226
510,5.1,0.037093
511,5.11,0.039006
512,5.12,0.040965
513,5.13,0.04297
514,5.14,0.04502
515,5.15,0.047117
516,5.16,0.049258
517,5.17,0.051445
518,5.18,0.053676
519,5.19,0.055952
520,5.2,0.058273
521,5.21,0.060637
522,5.22,0.063046
523,5.23,0.065498
524,5.24,0.067994
525,5.25,0.070533
526,5.26,0.073115
527,5.27,0.075739
528,5.28,0.078406
529,5.29,0.081115
530,5.3,0.083866
531,5.31,0.086659
532,5.32,0.089493
533,5.33,0.092368
534,5.34,0.095284
535,5.35,0.09824
536,5.36,0.10124
537,5.37,0.10427
538,5.38,0.10735
539,5.39,0.11046
540,5.4,0.11362
541,5.41,0.11681
542,5.42,0.12004
543,5.43,0.12331
544,5.44,0.12662
545,5.45,0.12996
546,5.46,0.13334
547,5.47,0.13676
548,5.48,0.14021
549,5.49,0.1437
550,5.5,0.14723
551,5.51,0.15079
552,5.52,0.15439
553,5.53,0.15802
554,5.54,0.16168
555,5.55,0.16538
556,5.56,0.16911
557,5.57,0.17288
558,5.58,0.17667
559,5.59,0.1805
560,5.6,0.18437
561,5.61,0.18826
562,5.62,0.19218
563,5.63,0.19614
564,5.64,0.20013
565,5.65,0.20414
566,5.66,0.20819
567,5.67,0.21226
568,5.68,0.21637
569,5.69,0.2205
570,5.7,0.22466
571,5.71,0.22884
572,5.72,0.23306
573,5.73,0.2373
574,5.74,0.24157
575,5.75,0.24586
576,5.76,0.25018
577,5.77,0.25452
578,5.78,0.25889
579,5.79,0.26328
580,5.8,0.2677
581,5.81,0.27214
582,5.82,0.2766
583,5.83,0.28108
584,5.84,0.28559
585,5.85,0.29012
586,5.86,0.29467
587,5.87,0.29924
588,5.88,0.30382
589,5.89,0.30843
590,5.9,0.31306
591,5.91,0.31771
592,5.92,0.32237
593,5.93,0.32706
594,5.94,0.33176
595,5.95,0.33647
596,5.96,0.34121
597,5.97,0.34595
598,5.98,0.35072
599,5.99,0.3555
600,6.0,0.36029
601,6.01,0.3651
602,6.02,0.36992
603,6.03,0.37476
604,6.04,0.3796
605,6.05,0.38446
606,6.06,0.38933
607,6.07,0.39421
608,6.08,0.3991
609,6.09,0.40401
610,6.1,0.40892
611,6.11,0.41384
612,6.12,0.41877
613,6.13,0.42371
614,6.14,0.42865
615,6.15,0.4336
616,6.16,0.43856
617,6.17,0.44353
618,6.18,0.4485
619,6.19,0.45347
620,6.2,0.45846
621,6.21,0.46344
622,6.22,0.46843
623,6.23,0.47342
624,6.24,0.47841
625,6.25,0.48341
626,6.26,0.48841
627,6.27,0.49341
628,6.28,0.49841
629,6.29,0.5
630,6.3,0.505
631,6.31,0.51
632,6.32,0.515
633,6.33,0.51999
634,6.34,0.52499
635,6.35,0.52998
636,6.36,0.53497
637,6.37,0.53996
638,6.38,0.54494
639,6.39,0.54992
640,6.4,0.55489
641,6.41,0.55986
642,6.42,0.56482
643,6.43,0.56977
644,6.44,0.57472
645,6.45,0.57966
646,6.46,0.58459
647,6.47,0.58951
648,6.48,0.59443
649,6.49,0.59933
650,6.5,0.60423
651,6.51,0.60911
652,6.5200000000000005,0.61399
653,6.53,0.61885
654,6.54,0.6237
655,6.55,0.62854
656,6.5600000000000005,0.63337
657,6.57,0.63818
658,6.58,0.64298
659,6.59,0.64776
660,6.6,0.65253
661,6.61,0.65728
662,6.62,0.66202
663,6.63,0.66674
664,6.64,0.67145
665,6.65,0.67614
666,6.66,0.68081
667,6.67,0.68546
668,6.68,0.69009
669,6.69,0.69471
670,6.7,0.6993
671,6.71,0.70388
672,6.72,0.70844
673,6.73,0.71297
674,6.74,0.71748
675,6.75,0.72197
676,6.76,0.72644
677,6.77,0.73089
678,6.78,0.73531
679,6.79,0.73971
680,6.8,0.74409
681,6.8100000000000005,0.74844
682,6.82,0.75277
683,6.83,0.75707
684,6.84,0.76134
685,6.85,0.76559
686,6.86,0.76982
687,6.87,0.77401
688,6.88,0.77818
689,6.89,0.78232
690,6.9,0.78643
691,6.91,0.79052
692,6.92,0.79457
693,6.93,0.7986
694,6.94,0.80259
695,6.95,0.80656
696,6.96,0.81049
697,6.97,0.8144
698,6.98,0.81827
699,6.99,0.82211
700,7.0,0.82592
701,7.01,0.82969
702,7.02,0.83343
703,7.03,0.83714
704,7.04,0.84082
705,7.05,0.84446
706,7.0600000000000005,0.84807
707,7.07,0.85164
708,7.08,0.85518
709,7.09,0.85868
710,7.1,0.86214
711,7.11,0.86557
712,7.12,0.86897
713,7.13,0.87232
714,7.14,0.87564
715,7.15,0.87892
716,7.16,0.88216
717,7.17,0.88537
718,7.18,0.88854
719,7.19,0.89166
720,7.2,0.89475
721,7.21,0.8978
722,7.22,0.90081
723,7.23,0.90378
724,7.24,0.90671
725,7.25,0.9096
726,7.26,0.91244
727,7.27,0.91525
728,7.28,0.91801
729,7.29,0.92074
730,7.3,0.92342
731,7.3100000000000005,0.92605
732,7.32,0.92865
733,7.33,0.9312
734,7.34,0.93371
735,7.35,0.93618
736,7.36,0.9386
737,7.37,0.94098
738,7.38,0.94331
739,7.390000000000001,0.9456
740,7.4,0.94785
741,7.41,0.95005
742,7.42,0.95221
743,7.43,0.95432
744,7.4399999999999995,0.95638
745,7.45,0.9584
746,7.46,0.96038
747,7.47,0.9623
748,7.48,0.96418
749,7.49,0.96602
750,7.5,0.96781
751,7.51,0.96955
752,7.52,0.97124
753,7.53,0.97289
754,7.54,0.97449
755,7.55,0.97605
756,7.5600000000000005,0.97755
757,7.57,0.97901
758,7.58,0.98042
759,7.59,0.98178
760,7.6,0.98309
761,7.61,0.98436
762,7.62,0.98557
763,7.63,0.98674
764,7.640000000000001,0.98786
765,7.65,0.98893
766,7.66,0.98995
767,7.67,0.99093
768,7.68,0.99185
769,7.6899999999999995,0.99272
770,7.7,0.99355
771,7.71,0.99433
772,7.72,0.99505
773,7.73,0.99573
774,7.74,0.99636
775,7.75,0.99693
776,7.76,0.99746
777,7.77,0.99794
778,7.78,0.99837
779,7.79,0.99875
780,7.8,0.99908
781,7.8100000000000005,0.99936
782,7.82,0.99958
783,7.83,0.99976
784,7.84,0.99989
785,7.85,0.99997
786,7.86,1.0
787,7.87,0.99998
788,7.88,0.99991
789,7.890000000000001,0.99979
790,7.9,0.99962
791,7.91,0.99939
792,7.92,0.99912
793,7.93,0.9988
794,7.9399999999999995,0.99843
795,7.95,0.99801
796,7.96,0.99754
797,7.97,0.99702
798,7.98,0.99645
799,7.99,0.99583
800,8.0,0.99516
801,8.01,0.99444
802,8.02,0.99368
803,8.03,0.99286
804,8.04,0.99199
805,8.05,0.99108
806,8.06,0.99011
807,8.07,0.9891
808,8.08,0.98804
809,8.09,0.98692
810,8.1,0.98576
811,8.11,0.98455
812,8.120000000000001,0.9833
813,8.13,0.98199
814,8.14,0.98064
815,8.15,0.97924
816,8.16,0.97779
817,8.17,0.97629
818,8.18,0.97474
819,8.19,0.97315
820,8.2,0.97151
821,8.21,0.96982
822,8.22,0.96809
823,8.23,0.96631
824,8.24,0.96448
825,8.25,0.96261
826,8.26,0.96069
827,8.27,0.95872
828,8.28,0.95671
829,8.29,0.95465
830,8.3,0.95255
831,8.31,0.9504
832,8.32,0.9482
833,8.33,0.94596
834,8.34,0.94368
835,8.35,0.94135
836,8.36,0.93898
837,8.370000000000001,0.93657
838,8.379999999999999,0.93411
839,8.39,0.9316
840,8.4,0.92906
841,8.41,0.92647
842,8.42,0.92384
843,8.43,0.92117
844,8.44,0.91845
845,8.45,0.91569
846,8.46,0.91289
847,8.47,0.91005
848,8.48,0.90717
849,8.49,0.90425
850,8.5,0.90129
851,8.51,0.89828
852,8.52,0.89524
853,8.530000000000001,0.89216
854,8.54,0.88904
855,8.55,0.88588
856,8.56,0.88268
857,8.57,0.87944
858,8.58,0.87617
859,8.59,0.87285
860,8.6,0.8695
861,8.61,0.86612
862,8.620000000000001,0.86269
863,8.629999999999999,0.85923
864,8.64,0.85574
865,8.65,0.85221
866,8.66,0.84864
867,8.67,0.84504
868,8.68,0.8414
869,8.69,0.83773
870,8.7,0.83403
871,8.71,0.83029
872,8.72,0.82652
873,8.73,0.82272
874,8.74,0.81888
875,8.75,0.81502
876,8.76,0.81112
877,8.77,0.80719
878,8.780000000000001,0.80323
879,8.79,0.79924
880,8.8,0.79522
881,8.81,0.79117
882,8.82,0.78709
883,8.83,0.78298
884,8.84,0.77884
885,8.85,0.77468
886,8.86,0.77049
887,8.870000000000001,0.76627
888,8.879999999999999,0.76202
889,8.89,0.75775
890,8.9,0.75345
891,8.91,0.74913
892,8.92,0.74478
893,8.93,0.74041
894,8.94,0.73602
895,8.95,0.7316
896,8.96,0.72715
897,8.97,0.72269
898,8.98,0.7182
899,8.99,0.71369
900,9.0,0.70916
901,9.01,0.70461
902,9.02,0.70003
903,9.030000000000001,0.69544
904,9.04,0.69083
905,9.05,0.6862
906,9.06,0.68155
907,9.07,0.67688
908,9.08,0.6722
909,9.09,0.66749
910,9.1,0.66277
911,9.11,0.65804
912,9.120000000000001,0.65329
913,9.129999999999999,0.64852
914,9.14,0.64374
915,9.15,0.63894
916,9.16,0.63413
917,9.17,0.62931
918,9.18,0.62447
919,9.19,0.61962
920,9.2,0.61476
921,9.21,0.60989
922,9.22,0.60501
923,9.23,0.60011
924,9.24,0.59521
925,9.25,0.5903
926,9.26,0.58538
927,9.27,0.58045
928,9.280000000000001,0.57551
929,9.29,0.57056
930,9.3,0.56561
931,9.31,0.56065
932,9.32,0.55568
933,9.33,0.55071
934,9.34,0.54573
935,9.35,0.54075
936,9.36,0.53577
937,9.370000000000001,0.53078
938,9.379999999999999,0.52578
939,9.39,0.52079
940,9.4,0.51579
941,9.41,0.5108
942,9.42,0.5058
943,9.43,0.5008
944,9.44,0.4958
945,9.45,0.4908
946,9.46,0.4858
947,9.47,0.4808
948,9.48,0.47581
949,9.49,0.47081
950,9.5,0.46582
951,9.51,0.46084
952,9.52,0.45585
953,9.530000000000001,0.45088
954,9.54,0.4459
955,9.55,0.44093
956,9.56,0.43597
957,9.57,0.43102
958,9.58,0.42607
959,9.59,0.42113
960,9.6,0.41619
961,9.61,0.41127
962,9.620000000000001,0.40635
963,9.629999999999999,0.40145
964,9.64,0.39655
965,9.65,0.39166
966,9.66,0.38679
967,9.67,0.38192
968,9.68,0.37707
969,9.69,0.37223
970,9.7,0.3674
971,9.71,0.36259
972,9.72,0.35779
973,9.73,0.353
974,9.74,0.34823
975,9.75,0.34347
976,9.76,0.33873
977,9.77,0.33401
978,9.780000000000001,0.3293
979,9.79,0.32461
980,9.8,0.31993
981,9.81,0.31528
982,9.82,0.31064
983,9.83,0.30602
984,9.84,0.30143
985,9.85,0.29685
986,9.86,0.29229
987,9.870000000000001,0.28775
988,9.879999999999999,0.28323
989,9.89,0.27874
990,9.9,0.27427
991,9.91,0.26982
992,9.92,0.26539
993,9.93,0.26099
994,9.94,0.25661
995,9.95,0.25225
996,9.96,0.24792
997,9.97,0.24362
998,9.98,0.23934
999,9.99,0.23508
1000,10.0,0.23085
1001,10.01,0.22665
1002,10.02,0.22248
1003,10.030000000000001,0.21834
1004,10.04,0.21422
1005,10.05,0.21013
1006,10.06,0.20607
1007,10.07,0.20204
1008,10.08,0.19804
1009,10.09,0.19407
1010,10.1,0.19013
1011,10.11,0.18622
1012,10.120000000000001,0.18235
1013,10.129999999999999,0.1785
1014,10.14,0.17469
1015,10.15,0.17091
1016,10.16,0.16716
1017,10.17,0.16344
1018,10.18,0.15976
1019,10.19,0.15612
1020,10.2,0.1525
1021,10.21,0.14893
1022,10.22,0.14538
1023,10.23,0.14188
1024,10.24,0.13841
1025,10.25,0.13497
1026,10.26,0.13157
1027,10.27,0.12821
1028,10.280000000000001,0.12489
1029,10.29,0.1216
1030,10.3,0.11835
1031,10.309999999999999,0.11514
1032,10.32,0.11197
1033,10.33,0.10883
1034,10.34,0.10574
1035,10.35,0.10268
1036,10.36,0.099667
1037,10.370000000000001,0.096691
1038,10.379999999999999,0.093756
1039,10.39,0.090861
1040,10.4,0.088008
1041,10.41,0.085195
1042,10.42,0.082424
1043,10.43,0.079695
1044,10.440000000000001,0.077008
1045,10.45,0.074363
1046,10.46,0.071761
1047,10.469999999999999,0.069202
1048,10.48,0.066685
1049,10.49,0.064212
1050,10.5,0.061783
1051,10.51,0.059397
1052,10.52,0.057055
1053,10.530000000000001,0.054758
1054,10.54,0.052505
1055,10.55,0.050297
1056,10.559999999999999,0.048134
1057,10.57,0.046016
1058,10.58,0.043944
1059,10.59,0.041917
1060,10.6,0.039936
1061,10.61,0.038001
1062,10.620000000000001,0.036112
1063,10.629999999999999,0.03427
1064,10.64,0.032474
1065,10.65,0.030725
1066,10.66,0.029022
1067,10.67,0.027367
1068,10.68,0.025759
1069,10.690000000000001,0.024199
1070,10.7,0.022686
1071,10.71,0.021221
1072,10.719999999999999,0.019804
1073,10.73,0.018435
1074,10.74,0.017113
1075,10.75,0.015841
1076,10.76,0.014616
1077,10.77,0.013441
1078,10.780000000000001,0.012313
1079,10.79,0.011235
1080,10.8,0.010205
1081,10.809999999999999,0.0092249
1082,10.82,0.0082934
1083,10.83,0.0074111
1084,10.84,0.0065781
1085,10.85,0.0057944
1086,10.86,0.0050601
1087,10.870000000000001,0.0043753
1088,10.879999999999999,0.0037401
1089,10.89,0.0031545
1090,10.9,0.0026186
1091,10.91,0.0021324
1092,10.92,0.001696
1093,10.93,0.0013095
1094,10.940000000000001,0.00097278
1095,10.95,0.00068599
1096,10.96,0.00044914
1097,10.969999999999999,0.00026224
1098,10.98,0.00012531
1099,10.99,3.8371e-05
1100,11.0,1.4268e-06
1101,11.01,1.4482e-05
1102,11.02,7.7535e-05
1103,11.030000000000001,0.00019058
1104,11.04,0.00035361
1105,11.05,0.0005666
1106,11.059999999999999,0.00082953
1107,11.07,0.0011424
1108,11.08,0.0015051
1109,11.09,0.0019177
1110,11.1,0.0023801
1111,11.11,0.0028922
1112,11.120000000000001,0.0034541
1113,11.129999999999999,0.0040656
1114,11.14,0.0047267
1115,11.15,0.0054374
1116,11.16,0.0061975
1117,11.17,0.0070069
1118,11.18,0.0078657
1119,11.190000000000001,0.0087737
1120,11.2,0.0097308
1121,11.21,0.010737
1122,11.219999999999999,0.011792
1123,11.23,0.012896
1124,11.24,0.014048
1125,11.25,0.01525
1126,11.26,0.016499
1127,11.27,0.017797
1128,11.280000000000001,0.019144
1129,11.29,0.020538
1130,11.3,0.02198
1131,11.309999999999999,0.02347
1132,11.32,0.025008
1133,11.33,0.026593
1134,11.34,0.028226
1135,11.35,0.029905
1136,11.36,0.031632
1137,11.370000000000001,0.033406
1138,11.379999999999999,0.035226
1139,11.39,0.037093
1140,11.4,0.039006
1141,11.41,0.040965
1142,11.42,0.04297
1143,11.43,0.04502
1144,11.440000000000001,0.047117
1145,11.45,0.049258
1146,11.46,0.051445
1147,11.469999999999999,0.053676
1148,11.48,0.055952
1149,11.49,0.058273
1150,11.5,0.060637
1151,11.51,0.063046
1152,11.52,0.065498
1153,11.530000000000001,0.067994
1154,11.54,0.070533
1155,11.55,0.073115
1156,11.559999999999999,0.075739
1157,11.57,0.078406
1158,11.58,0.081115
1159,11.59,0.083866
1160,11.6,0.086659
1161,11.61,0.089493
1162,11.620000000000001,0.092368
1163,11.629999999999999,0.095284
1164,11.64,0.09824
1165,11.65,0.10124
1166,11.66,0.10427
1167,11.67,0.10735
1168,11.68,0.11046
1169,11.690000000000001,0.11362
1170,11.7,0.11681
1171,11.71,0.12004
1172,11.719999999999999,0.12331
1173,11.73,0.12662
1174,11.74,0.12996
1175,11.75,0.13334
1176,11.76,0.13676
1177,11.77,0.14021
1178,11.780000000000001,0.1437
1179,11.79,0.14723
1180,11.8,0.15079
1181,11.809999999999999,0.15439
1182,11.82,0.15802
1183,11.83,0.16168
1184,11.84,0.16538
1185,11.85,0.16911
1186,11.86,0.17288
1187,11.870000000000001,0.17667
1188,11.879999999999999,0.1805
1189,11.89,0.18437
1190,11.9,0.18826
1191,11.91,0.19218
1192,11.92,0.19614
1193,11.93,0.20013
1194,11.940000000000001,0.20414
1195,11.95,0.20819
1196,11.96,0.21226
1197,11.969999999999999,0.21637
1198,11.98,0.2205
1199,11.99,0.22466
1200,12.0,0.22884
1201,12.01,0.23306
1202,12.02,0.2373
1203,12.030000000000001,0.24157
1204,12.04,0.24586
1205,12.05,0.25018
1206,12.059999999999999,0.25452
1207,12.07,0.25889
1208,12.08,0.26328
1209,12.09,0.2677
1210,12.1,0.27214
1211,12.11,0.2766
1212,12.120000000000001,0.28108
